"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.629865780E-1,8.235990405E-1,-4.780020416E-1,2.751947939E-1
5.650850690E-1,1.040303469E0,-9.972375035E-1,2.160935849E-1
5.671787070E-1,1.198823094E0,-1.282358885E0,1.597412676E-1
5.692883360E-1,1.306488037E0,-1.387885809E0,1.131627858E-1
5.713889120E-1,1.369407177E0,-1.399950385E0,8.078692853E-2
5.734917060E-1,1.393689036E0,-1.375668526E0,6.597344577E-2
5.755858930E-1,1.390023828E0,-1.344056249E0,7.223481685E-2
5.776741710E-1,1.367269158E0,-1.304197311E0,9.697485715E-2
5.797912960E-1,1.331228137E0,-1.235169530E0,1.379028261E-1
5.818919640E-1,1.295186996E0,-1.138194680E0,1.850921661E-1
5.839973510E-1,1.257924199E0,-1.024268270E0,2.359467000E-1
5.860932380E-1,1.222035885E0,-9.115636349E-1,2.881756723E-1
5.881951670E-1,1.187216640E0,-8.159632683E-1,3.376557529E-1
5.902940030E-1,1.152397275E0,-7.347181439E-1,3.824016452E-1
5.923971530E-1,1.120021462E0,-6.632469296E-1,4.221078753E-1
5.945048190E-1,1.087492824E0,-5.954409242E-1,4.543310404E-1
5.965956390E-1,1.058629513E0,-5.274821520E-1,4.805982411E-1
5.986973240E-1,1.035722017E0,-4.560109079E-1,4.981606007E-1
6.007953350E-1,1.018770456E0,-3.880521357E-1,5.083925724E-1
6.028968880E-1,1.007927656E0,-3.249803185E-1,5.135849714E-1
6.049963040E-1,9.983065128E-1,-2.776382565E-1,5.126686692E-1
6.070974300E-1,9.934195876E-1,-2.448042482E-1,5.115996599E-1
6.091951270E-1,9.885326624E-1,-2.254092693E-1,5.080871582E-1
6.112896190E-1,9.824240208E-1,-2.180788964E-1,4.996877611E-1
6.134003470E-1,9.824240208E-1,-2.193006277E-1,4.923573732E-1
6.155010040E-1,9.786061049E-1,-2.264782935E-1,4.764748812E-1
6.176045100E-1,9.747881889E-1,-2.373211533E-1,4.569272101E-1
6.197043320E-1,9.732610583E-1,-2.518292069E-1,4.311181605E-1
6.218112150E-1,9.706648588E-1,-2.747366428E-1,3.981314301E-1
6.238923110E-1,9.714284539E-1,-3.086396754E-1,3.625485301E-1
6.260032130E-1,9.735664725E-1,-3.509420753E-1,3.255911767E-1
6.281008990E-1,9.830349088E-1,-3.932445049E-1,2.900082767E-1
6.302069680E-1,9.984592199E-1,-4.379903674E-1,2.518292069E-1
6.323054480E-1,1.019992232E0,-4.780020416E-1,2.159408629E-1
6.344072140E-1,1.047633886E0,-5.154175758E-1,1.800525337E-1
6.365060000E-1,1.081384182E0,-5.456553698E-1,1.467603743E-1
6.386066680E-1,1.120021462E0,-5.687155724E-1,1.133155003E-1
6.407070390E-1,1.160949349E0,-5.842925906E-1,8.231408894E-2
6.428077270E-1,1.204473495E0,-5.975789428E-1,5.131268129E-2
6.449088820E-1,1.250441194E0,-6.000223756E-1,2.275473066E-2
6.470087270E-1,1.295186996E0,-5.963571668E-1,-5.803219974E-3
6.491096280E-1,1.338711143E0,-5.902485251E-1,-3.176499158E-2
6.512106700E-1,1.378722906E0,-5.792529583E-1,-5.528330430E-2
6.533108290E-1,1.414916635E0,-5.645921826E-1,-7.757988572E-2
6.554126780E-1,1.447597861E0,-5.487096906E-1,-9.850201756E-2
6.575113520E-1,1.476613998E0,-5.317581892E-1,-1.171334088E-1
6.596126080E-1,1.500743151E0,-5.122104883E-1,-1.379028261E-1
6.617121350E-1,1.517694712E0,-4.891503453E-1,-1.551597714E-1
6.638132000E-1,1.533271790E0,-4.673119187E-1,-1.771509200E-1
6.659142740E-1,1.546558142E0,-4.428772926E-1,-1.966986060E-1
6.680155630E-1,1.553735733E0,-4.185954034E-1,-2.199114859E-1
6.701147850E-1,1.555873752E0,-3.918700516E-1,-2.431243658E-1
6.722154940E-1,1.554499388E0,-3.649919927E-1,-2.661845386E-1
6.743141870E-1,1.549612403E0,-3.358231783E-1,-2.831360400E-1
6.764070320E-1,1.539685845E0,-3.042109013E-1,-3.011565804E-1
6.785164690E-1,1.527468562E0,-2.787072659E-1,-3.156646192E-1
6.806175010E-1,1.512807727E0,-2.519819140E-1,-3.287982047E-1
6.827206410E-1,1.498147011E0,-2.263255715E-1,-3.408628106E-1
6.848198940E-1,1.478599310E0,-2.069306076E-1,-3.478877544E-1
6.869204300E-1,1.457982659E0,-1.922698319E-1,-3.526219726E-1
6.890225210E-1,1.435991526E0,-1.777617931E-1,-3.572034538E-1
6.911200140E-1,1.410487890E0,-1.655444801E-1,-3.617849350E-1
6.932207740E-1,1.383762479E0,-1.533271819E-1,-3.627012372E-1
6.953211570E-1,1.355815411E0,-1.459967941E-1,-3.623957932E-1
6.974209490E-1,1.327868342E0,-1.423316002E-1,-3.634648323E-1
6.995186050E-1,1.298699498E0,-1.398881376E-1,-3.619376719E-1
7.016272770E-1,1.263422012E0,-1.386664063E-1,-3.628539443E-1
7.037368360E-1,1.229366302E0,-1.435533315E-1,-3.613267839E-1
7.058253780E-1,1.194088817E0,-1.482875347E-1,-3.597996235E-1
